id|name
003381|fermented cheese
002017|enriched dough
002100|lean dough
003144|fermented cereal-based product
002417|crusty bread
002043|fresh cheese
003440|whey cheese
003406|brined cheese
002202|processed cheese
003448|feta
003432|streched curd cheese
003452|mozzarella
003444|caciocavallo
003456|ricotta
003443|brocciu
003457|schabziger
003428|ripened cheese
003459|soft cheese
003458|semi soft cheese
003450|hard cheese
003489|extra hard cheese
002319|American cheese
002633|velveeta
002329|The Laughing Cow
003561|fromage blanc
002568|quark
002408|cottage cheese
002393|chhena
002569|queso blanco
002570|queso fresco
003564|petit-suisse
003560|faisselle
003492|mould ripened cheese
003486|blue veined cheese
003496|Bleu
003518|Roquefort
003500|Camembert
003498|Brie
003501|Carré de l'est
003499|Buche de chèvre
003514|Parmesan
003495|Asiago
003517|Romano
003521|Sapsago
003523|Spalen
003469|Cheddar
003475|Granular
003467|Caciocavallo
003476|Gruyère
003470|Comté
003468|Cantal
003466|Brick cheese
003509|Limburger
003482|Trappist
003474|Gouda
003480|Raclette
003472|Fontina
003524|Stilton
003504|Gorgonzola
003502|Danablu
003497|Blue Wensleydate
003506|Hand cheese
003513|Neufchatel
003477|Laguiole
002325|Kiri
002320|Cancoillotte
002322|Crème de Brie de Meaux
003465|Beaufort
002359|beefsteak
003085|carpaccio
001960|cocoa
001963|cocoa butter
001964|cocoa powder
002729|nugget
001924|camel milk
002022|ewe milk
001918|buffalo milk
003143|fermented butter
001589|hand
002133|merguez
001952|chipolata
003253|chorizo
003563|salami
003562|fuet
003244|Morcela de Arroz
001858|algae as food
002501|laurel
002588|rosemary
002591|sage
002621|tarragon
002623|thyme
002374|broccoli
002375|brussel sprout as food
002384|cauliflower as food
002321|Chinese cabbage
002477|head cabbage
002460|garlic as food
002539|onion
002598|shallot
002347|aubergine
002350|baby corn
002410|courgette
002418|cucumber
002461|gherkin
002519|melon as food
002537|okra
002566|pumpkin
002617|sweet pepper
002625|tomato as food
002392|cherry tomato
002549|pear tomato
002559|plum tomato
002641|watermelon as food
002055|fungi as food
003250|cep
003254|common mushroom
003249|brown mushroom
003270|portobello mushroom
003267|morel
003275|truffle
002357|basil
002387|celery leaf
002388|chard
002398|chive
002438|escarole
002464|grape leaf
002506|lettuce
002528|mint
002545|parsley
002587|rocket
003347|tzatziki
002604|spinach
002639|watercress
002652|witloof
002361|beetroot
002382|carrot
002385|celeriac
002483|horseradish
002546|parsnip
002561|potato as food
002573|radish
002594|salsify
002615|swede
002618|sweet potato
002632|turnip
002656|yam
002345|artichoke
002346|asparagus
002352|bamboo shoot
002380|cardoon
002386|celery
002444|fennel
002504|leek
002543|palm heart
002579|rhubarb
001897|bean
002104|lentil
002175|pea
001665|nut
001859|almond as food
001965|coconut as food
002181|pecan
002189|pistachio
001961|cocoa bean
003158|olive as food
002177|peanut as food
001697|peanut and primary derivative thereof
002245|sesame oil
002246|sesame seed
002302|walnut
001838|walnut and primary derivative thereof
002303|walnut oil
002580|rice
001514|dark chocolate
002266|steak tartare
002048|fried rice
003412|dosa
002555|pico de gallo
001503|corn tortillas
002239|sashimi
003171|sushi
001942|ceviche
001565|fruit based dish
003166|sorbet
002031|fish sashimi
002131|meat sashimi
002185|pie
001969|compote
002052|fruit salad
002204|pudding
001906|blood sausage
002366|black pudding
002224|rice pudding
003185|cheesecake
001802|sugar confectionery
003134|cupcake
003242|éclair
003135|custard cake
001466|burger
002071|hamburger
001945|cheeseburger
002049|frikadeller
001638|meatball
002563|prawn
002095|lamb meat
002130|meat patty
000649|gram-positive
000648|gram-negative
000473|Neisser-positive
000472|Neisser-negative
000019|phenotype wrt metabolic activity
000060|catalase activity
000222|catalase positive
000221|catalase negative
000116|microscopic morphological phenotype
000025|physiological phenotype
000243|conjugating
000296|gram stain phenotype
000174|Neisser stain phenotype
000020|phenotype wrt morphology
000065|conjugation phenotype
001005|biofilm phenotype
000143|presence of quorum sensing
000142|presence of nanotube
000353|multicellular arrangement phenotype
000228|cellular shape phenotype
000848|rod-shaped
000563|coccobacillus
000850|round-shaped
000888|spiral-shaped
001329|spirillum
001330|spirochete
001043|comma-shaped
000892|stalked
000893|star-shaped
000817|pleomorphic
000891|square-shaped
000629|filamentous
000865|sheathed
000928|trichome forming
000064|colony morphology phenotype
000105|liquid culture morphology phenotype
000157|taxis phenotype
000182|aerotactic
000763|negative aerotactic
000821|positive aerotactic
000230|chemotactic
000822|positive chemotactic
000764|negative chemotactic
000369|osmotactic
000192|anemotactic
000207|barotactic
000262|durotactic
000265|electrotactic
000300|gravitactic
000317|hydrotactic
000335|magnetotactic
000387|phototactic
000409|rheotactic
000452|thermotactic
000454|thigmotactic
000295|gliding
000439|swarming
000440|swimming
000460|twitching
000015|phenotype wrt adhesion
000139|planktonic
000068|decarboxylase activity
000251|decarboxylase negative
000252|decarboxylase positive
000371|oxidase activity
000784|oxidase negative
000785|oxidase positive
002711|halotolerant
002883|acido tolerant
000128|phenotype wrt habitat osmolarity
000370|osmotolerant
000367|osmophile
000368|osmophobe
000018|phenotype wrt growth
000150|sporulating
000286|flocculent
000297|granular
000809|pigmented
001272|purple pigmented
001372|violet pigmented
001156|indigo pigmented
001008|blue pigmented
001137|green pigmented
001386|yellow pigmented
001240|orange pigmented
001280|red pigmented
001019|brown pigmented
001007|black pigmented
001131|golden pigmented
001318|silver pigmented
001382|white pigmented
001054|cream pigmented
001255|pink pigmented
001197|maroon pigmented
001107|fluorescent pigmented
002337|antimicrobial resistant
002677|antifungal resistant
002680|antiviral resistant
002671|antibacterial resistant
002683|antiyeast resistant
000379|phenotype wrt carbon source
000385|phenotype wrt reducing equivalent source
000383|phenotype wrt living energy source
000712|lithotroph
000778|organotroph
001105|fermentative
000733|methanogenic
000443|syntrophic
002991|hydrogen oxidizing
003028|sulfur oxidizing
002984|ferrous iron oxidizing
002955|ammonia oxidizing
003036|anammox
002959|arsenic oxidizing
003299|photoorganoheterotroph
000402|psychrotrophic
000275|extreme thermophile
002945|thermal resistant
002987|heat resistant
002975|cold resistant
002982|extreme cold resistant
002983|extreme heat resistant
001997|disease resistant
000381|phenotype wrt drug impact
000378|phenotype wrt antimicrobial impact
000125|phenotype wrt disease impact
000384|phenotype wrt metal concentration impact
000137|phenotype wrt relative humidity impact
001992|desiccation resistant
001994|desiccation tolerant
001993|desiccation sensitive
001999|disease tolerant
001998|disease sensitive
002338|antimicrobial sensitive
002684|antiyeast sensitive
002678|antifungal sensitive
002681|antiviral sensitive
002672|antibacterial sensitive
002339|antimicrobial tolerant
002685|antiyeast tolerant
002679|antifungal tolerant
002682|antiviral tolerant
002673|antibacterial tolerant
002676|antibiotic tolerant
002675|antibiotic sensitive
002522|metal sensitive
002523|metal tolerant
002875|vancomycin sensitive
002818|meticillin sensitive
002821|moxifloxacin sensitive
002774|ciprofloxacin sensitive
002876|vancomycin tolerant
002819|meticillin tolerant
002822|moxifloxacin tolerant
002775|ciprofloxacin tolerant
001712|phenotype wrt chemical composition
